Rk	Player	Pos	G	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	PTS	Season
27	Ron Baker\\bakerro01	SG	29	20	59	0.339	11	33	0.333	9	26	0.346	0.432	71	2018
28	Wade Baldwin\\baldwwa01	PG	7	14	21	0.667	4	5	0.8	10	16	0.625	0.762	38	2018
29	Lonzo Ball\\balllo01	PG	52	203	564	0.36	90	295	0.305	113	269	0.42	0.44	528	2018
30	J.J. Barea\\bareajo01	PG	69	303	690	0.439	115	313	0.367	188	377	0.499	0.522	801	2018
31	Harrison Barnes\\barneha02	PF	77	537	1208	0.445	119	333	0.357	418	875	0.478	0.494	1452	2018
32	Will Barton\\bartowi01	SG	81	465	1028	0.452	156	422	0.37	309	606	0.51	0.528	1268	2018
33	Nicolas Batum\\batumni01	SG	64	270	650	0.415	92	274	0.336	178	376	0.473	0.486	740	2018
34	Jerryd Bayless\\bayleje01	SG	39	109	262	0.416	54	146	0.37	55	116	0.474	0.519	307	2018
35	Aron Baynes\\baynear01	C	81	210	446	0.471	3	21	0.143	207	425	0.487	0.474	482	2018
36	Kent Bazemore\\bazemke01	SG	65	284	676	0.42	108	274	0.394	176	402	0.438	0.5	836	2018
37	Bradley Beal\\bealbr01	SG	82	683	1484	0.46	199	530	0.375	484	954	0.507	0.527	1857	2018
38	Malik Beasley\\beaslma01	SG	62	73	178	0.41	28	82	0.341	45	96	0.469	0.489	196	2018
39	Michael Beasley\\beaslmi01	PF	74	409	807	0.507	34	86	0.395	375	721	0.52	0.528	976	2018
40	Marco Belinelli\\belinma01	SG	80	337	763	0.442	149	395	0.377	188	368	0.511	0.539	971	2018
40	Marco Belinelli\\belinma01	SG	52	199	484	0.411	92	247	0.372	107	237	0.451	0.506	591	2018
40	Marco Belinelli\\belinma01	SG	28	138	279	0.495	57	148	0.385	81	131	0.618	0.597	380	2018
41	Jordan Bell\\belljo01	C	57	116	185	0.627	0	4	0	116	181	0.641	0.627	262	2018
42	DeAndre' Bembry\\bembrde01	SF	26	53	128	0.414	11	30	0.367	42	98	0.429	0.457	136	2018
43	Dragan Bender\\bendedr01	PF	82	187	484	0.386	118	322	0.366	69	162	0.426	0.508	531	2018
44	Davis Bertans\\bertada01	PF	77	161	366	0.44	94	252	0.373	67	114	0.588	0.568	456	2018
45	Patrick Beverley\\beverpa01	SG	11	48	119	0.403	24	60	0.4	24	59	0.407	0.504	134	2018
46	Khem Birch\\birchkh01	C	42	68	126	0.54	0	0		68	126	0.54	0.54	178	2018
47	Jabari Bird\\birdja01	SG	13	15	26	0.577	3	7	0.429	12	19	0.632	0.635	39	2018
48	Bismack Biyombo\\biyombi01	C	82	183	352	0.52	0	1	0	183	351	0.521	0.52	468	2018
49	Nemanja Bjelica\\bjeline01	PF	67	171	371	0.461	76	183	0.415	95	188	0.505	0.563	454	2018
50	Tarik Black\\blackta01	C	51	75	127	0.591	1	11	0.091	74	116	0.638	0.594	180	2018
51	Antonio Blakeney\\blakean01	SG	19	53	143	0.371	15	52	0.288	38	91	0.418	0.423	151	2018
52	Eric Bledsoe\\bledser01	PG	74	468	989	0.473	125	360	0.347	343	629	0.545	0.536	1313	2018
52	Eric Bledsoe\\bledser01	PG	3	16	40	0.4	4	13	0.308	12	27	0.444	0.45	47	2018
52	Eric Bledsoe\\bledser01	PG	71	452	949	0.476	121	347	0.349	331	602	0.55	0.54	1266	2018
53	Vander Blue\\blueva01	SG	5	1	5	0.2	0	2	0	1	3	0.333	0.2	3	2018
54	Bogdan Bogdanovic\\bogdabo01	SG	78	344	772	0.446	129	329	0.392	215	443	0.485	0.529	917	2018
55	Bojan Bogdanovic\\bogdabo02	SF	80	404	852	0.474	155	386	0.402	249	466	0.534	0.565	1141	2018
56	Andrew Bogut\\bogutan01	C	23	17	25	0.68	0	0		17	25	0.68	0.68	36	2018
57	Joel Bolomboy\\bolomjo01	PF	6	3	6	0.5	0	1	0	3	5	0.6	0.5	9	2018
58	Devin Booker\\bookede01	SG	54	455	1054	0.432	147	384	0.383	308	670	0.46	0.501	1346	2018
59	Trevor Booker\\booketr01	PF	68	177	343	0.516	8	33	0.242	169	310	0.545	0.528	428	2018
59	Trevor Booker\\booketr01	PF	18	77	150	0.513	3	12	0.25	74	138	0.536	0.523	181	2018
59	Trevor Booker\\booketr01	PF	33	61	109	0.56	2	7	0.286	59	102	0.578	0.569	156	2018
59	Trevor Booker\\booketr01	PF	17	39	84	0.464	3	14	0.214	36	70	0.514	0.482	91	2018
60	Chris Boucher\\bouchch01	PF	1	0	1	0	0	1	0	0	0		0	0	2018
61	Avery Bradley\\bradlav01	SG	46	259	625	0.414	75	203	0.369	184	422	0.436	0.474	656	2018
61	Avery Bradley\\bradlav01	SG	40	233	570	0.409	74	194	0.381	159	376	0.423	0.474	601	2018
61	Avery Bradley\\bradlav01	SG	6	26	55	0.473	1	9	0.111	25	46	0.543	0.482	55	2018
62	Tony Bradley\\bradlto01	C	9	3	11	0.273	0	1	0	3	10	0.3	0.273	8	2018
63	Corey Brewer\\breweco01	SF-SG	72	142	316	0.449	31	110	0.282	111	206	0.539	0.498	380	2018
63	Corey Brewer\\breweco01	SF	54	78	172	0.453	8	43	0.186	70	129	0.543	0.477	198	2018
63	Corey Brewer\\breweco01	SG	18	64	144	0.444	23	67	0.343	41	77	0.532	0.524	182	2018
64	Malcolm Brogdon\\brogdma01	PG	48	244	503	0.485	62	161	0.385	182	342	0.532	0.547	625	2018
65	Aaron Brooks\\brookaa01	PG	32	28	69	0.406	11	31	0.355	17	38	0.447	0.486	75	2018
66	Dillon Brooks\\brookdi01	SF	82	340	772	0.44	94	264	0.356	246	508	0.484	0.501	898	2018
67	MarShon Brooks\\brookma01	SG	7	51	102	0.5	19	32	0.594	32	70	0.457	0.593	141	2018
68	Anthony Brown\\brownan02	SF	1	1	1	1	1	1	1	0	0		1.5	3	2018
69	Bobby Brown\\brownbo02	PG	20	19	58	0.328	11	40	0.275	8	18	0.444	0.422	50	2018
70	Jaylen Brown\\brownja02	SG	70	373	803	0.465	121	306	0.395	252	497	0.507	0.54	1017	2018
71	Lorenzo Brown\\brownlo01	PG	14	14	34	0.412	2	12	0.167	12	22	0.545	0.441	32	2018
72	Markel Brown\\brownma02	SG	4	2	7	0.286	1	5	0.2	1	2	0.5	0.357	5	2018
73	Sterling Brown\\brownst02	SG	54	82	205	0.4	32	91	0.352	50	114	0.439	0.478	217	2018
74	Nicolas Brussino\\brussni01	SF	4	0	2	0	0	2	0	0	0		0	0	2018
75	Thomas Bryant\\bryanth01	C	15	8	21	0.381	1	10	0.1	7	11	0.636	0.405	22	2018
76	Reggie Bullock\\bullore01	SF	62	267	546	0.489	125	281	0.445	142	265	0.536	0.603	698	2018
77	Trey Burke\\burketr01	PG	36	193	384	0.503	38	105	0.362	155	279	0.556	0.552	461	2018
78	Alec Burks\\burksal01	SG	64	170	414	0.411	47	142	0.331	123	272	0.452	0.467	494	2018
79	Jimmy Butler\\butleji01	SG	59	437	921	0.474	70	200	0.35	367	721	0.509	0.512	1307	2018
80	Dwight Buycks\\buyckdw01	PG	29	82	198	0.414	15	45	0.333	67	153	0.438	0.452	215	2018
81	Bruno Caboclo\\cabocbr01	SF	12	9	31	0.29	3	17	0.176	6	14	0.429	0.339	26	2018
81	Bruno Caboclo\\cabocbr01	SF	2	0	2	0	0	2	0	0	0		0	0	2018
81	Bruno Caboclo\\cabocbr01	SF	10	9	29	0.31	3	15	0.2	6	14	0.429	0.362	26	2018
82	Jose Calderon\\caldejo01	PG	57	93	185	0.503	45	97	0.464	48	88	0.545	0.624	255	2018
83	Kentavious Caldwell-Pope\\caldwke01	SG	74	340	798	0.426	159	415	0.383	181	383	0.473	0.526	992	2018
84	Isaiah Canaan\\canaais01	PG-SG	20	52	137	0.38	22	66	0.333	30	71	0.423	0.46	172	2018
84	Isaiah Canaan\\canaais01	SG	1	0	1	0	0	0		0	1	0	0	0	2018
84	Isaiah Canaan\\canaais01	PG	19	52	136	0.382	22	66	0.333	30	70	0.429	0.463	172	2018
85	Clint Capela\\capelca01	C	74	441	676	0.652	0	1	0	441	675	0.653	0.652	1026	2018
86	DeMarre Carroll\\carrode01	SF	73	325	785	0.414	145	391	0.371	180	394	0.457	0.506	983	2018
87	Vince Carter\\cartevi01	SF	58	114	283	0.403	57	165	0.345	57	118	0.483	0.504	313	2018
88	Michael Carter-Williams\\cartemi01	PG	52	76	229	0.332	14	59	0.237	62	170	0.365	0.362	239	2018
89	Alex Caruso\\carusal01	PG	37	50	116	0.431	13	43	0.302	37	73	0.507	0.487	134	2018
90	Omri Casspi\\casspom01	SF	53	120	207	0.58	10	22	0.455	110	185	0.595	0.604	300	2018
91	Willie Cauley-Stein\\caulewi01	C	73	388	773	0.502	3	12	0.25	385	761	0.506	0.504	932	2018
92	Tyler Cavanaugh\\cavanty01	PF	39	67	152	0.441	32	89	0.36	35	63	0.556	0.546	183	2018
93	Mario Chalmers\\chalmma01	PG	66	168	443	0.379	53	191	0.277	115	252	0.456	0.439	507	2018
94	Tyson Chandler\\chandty01	C	46	121	187	0.647	0	0		121	187	0.647	0.647	300	2018
95	Wilson Chandler\\chandwi01	SF	74	281	631	0.445	88	246	0.358	193	385	0.501	0.515	738	2018
96	Marquese Chriss\\chrisma01	PF	72	202	477	0.423	56	190	0.295	146	287	0.509	0.482	556	2018
97	Ian Clark\\clarkia01	SG	74	222	495	0.448	62	195	0.318	160	300	0.533	0.511	551	2018
98	Jordan Clarkson\\clarkjo01	SG	81	430	954	0.451	112	318	0.352	318	636	0.5	0.509	1124	2018
98	Jordan Clarkson\\clarkjo01	SG	53	299	667	0.448	68	210	0.324	231	457	0.505	0.499	771	2018
98	Jordan Clarkson\\clarkjo01	SG	28	131	287	0.456	44	108	0.407	87	179	0.486	0.533	353	2018
99	Gian Clavell\\clavegi01	SG	7	6	18	0.333	6	15	0.4	0	3	0	0.5	20	2018
100	Antonius Cleveland\\clevean01	SG	17	8	21	0.381	3	4	0.75	5	17	0.294	0.452	23	2018
100	Antonius Cleveland\\clevean01	SG	13	4	14	0.286	0	1	0	4	13	0.308	0.286	10	2018
100	Antonius Cleveland\\clevean01	SG	4	4	7	0.571	3	3	1	1	4	0.25	0.786	13	2018
101	John Collins\\collijo01	PF	74	314	545	0.576	16	47	0.34	298	498	0.598	0.591	777	2018
102	Zach Collins\\colliza01	C	66	115	289	0.398	35	113	0.31	80	176	0.455	0.458	292	2018
103	Kyle Collinsworth\\colliky01	SF	32	38	99	0.384	4	17	0.235	34	82	0.415	0.404	101	2018
104	Darren Collison\\collida01	PG	69	316	638	0.495	96	205	0.468	220	433	0.508	0.571	855	2018
105	Nick Collison\\collini01	PF	15	13	19	0.684	0	0		13	19	0.684	0.684	31	2018
106	Mike Conley\\conlemi01	PG	12	64	168	0.381	24	77	0.312	40	91	0.44	0.452	205	2018
107	Pat Connaughton\\connapa01	SG	82	165	390	0.423	74	210	0.352	91	180	0.506	0.518	441	2018
108	Quinn Cook\\cookqu01	PG	33	122	252	0.484	46	104	0.442	76	148	0.514	0.575	312	2018
109	Charles Cooke\\cookech01	SG	13	2	14	0.143	1	8	0.125	1	6	0.167	0.179	6	2018
110	Jack Cooley\\cooleja01	PF	7	13	27	0.481	0	0		13	27	0.481	0.481	40	2018
111	Matt Costello\\costema01	C	4	2	4	0.5	0	0		2	4	0.5	0.5	4	2018
112	DeMarcus Cousins\\couside01	C	48	406	864	0.47	104	294	0.354	302	570	0.53	0.53	1210	2018
113	Robert Covington\\covinro01	SF	80	345	836	0.413	203	550	0.369	142	286	0.497	0.534	1009	2018
114	Allen Crabbe\\crabbal01	SG	75	337	827	0.407	201	532	0.378	136	295	0.461	0.529	990	2018
115	Torrey Craig\\craigto01	SF	39	62	137	0.453	17	58	0.293	45	79	0.57	0.515	163	2018
116	Jamal Crawford\\crawfja01	SG	80	308	742	0.415	104	314	0.331	204	428	0.477	0.485	822	2018
117	Jordan Crawford\\crawfjo02	SG	5	12	27	0.444	8	14	0.571	4	13	0.308	0.593	33	2018
118	Jae Crowder\\crowdja01	SF	80	271	671	0.404	110	341	0.323	161	330	0.488	0.486	773	2018
118	Jae Crowder\\crowdja01	SF	53	157	376	0.418	62	189	0.328	95	187	0.508	0.5	454	2018
118	Jae Crowder\\crowdja01	SF	27	114	295	0.386	48	152	0.316	66	143	0.462	0.468	319	2018
