Rk	Player	Pos	G	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	PTS	Season
529	Brandan Wright\\wrighbr03	PF	28	59	102	0.578	0	0		59	102	0.578	0.578	139	2018
529	Brandan Wright\\wrighbr03	PF	27	57	99	0.576	0	0		57	99	0.576	0.576	135	2018
529	Brandan Wright\\wrighbr03	PF	1	2	3	0.667	0	0		2	3	0.667	0.667	4	2018
530	Delon Wright\\wrighde01	PG	69	201	432	0.465	56	153	0.366	145	279	0.52	0.53	555	2018
531	Guerschon Yabusele\\yabusgu01	PF	33	26	61	0.426	12	37	0.324	14	24	0.583	0.525	79	2018
532	James Young\\youngja01	SG	6	5	14	0.357	3	10	0.3	2	4	0.5	0.464	17	2018
533	Joe Young\\youngjo01	PG	53	80	186	0.43	25	66	0.379	55	120	0.458	0.497	207	2018
534	Nick Young\\youngni01	SG	80	201	488	0.412	123	326	0.377	78	162	0.481	0.538	581	2018
535	Thaddeus Young\\youngth01	PF	81	421	864	0.487	58	181	0.32	363	683	0.531	0.521	955	2018
536	Cody Zeller\\zelleco01	C	33	85	156	0.545	2	3	0.667	83	153	0.542	0.551	233	2018
537	Tyler Zeller\\zellety01	C	66	187	334	0.56	10	28	0.357	177	306	0.578	0.575	441	2018
537	Tyler Zeller\\zellety01	C	42	125	229	0.546	10	26	0.385	115	203	0.567	0.568	300	2018
537	Tyler Zeller\\zellety01	C	24	62	105	0.59	0	2	0	62	103	0.602	0.59	141	2018
538	Paul Zipser\\zipsepa01	SF	54	81	234	0.346	37	110	0.336	44	124	0.355	0.425	218	2018
539	Ante Zizic\\zizican01	C	32	49	67	0.731	0	0		49	67	0.731	0.731	119	2018
540	Ivica Zubac\\zubaciv01	C	43	61	122	0.5	0	1	0	61	121	0.504	0.5	161	2018
}															
