Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,Pos
Andrew Harrison,2017-2018,REG,Grizzlies,52,23.24,9.25,0.4,1.98,2.38,2.98,0.69,0.46,1.46,2.52,3.1,7.35,0.421,0.85,2.42,0.349,2.21,2.79,0.793,PF
Shabazz Napier,2017-2018,REG,Trail Blazers,61,21.1,9.2,0.33,1.9,2.23,2.07,1.18,0.21,1.25,1.13,3.18,7.33,0.434,1.13,2.97,0.381,1.7,2.03,0.839,SG
Lance Stephenson,2017-2018,REG,Pacers,69,22.6,9.17,0.74,4.41,5.14,2.91,0.57,0.17,1.68,2.14,3.67,8.49,0.432,0.81,2.68,0.303,1.03,1.55,0.664,SG
Milos Teodosic,2017-2018,REG,Clippers,38,25.05,9.16,0.42,2.58,3,4.95,0.55,0.11,2.21,2.29,3.29,8.03,0.41,1.84,5.16,0.357,0.74,0.84,0.875,PF
Al-Farouq Aminu,2017-2018,REG,Trail Blazers,55,29.78,9.15,1.29,6.05,7.35,1.07,0.91,0.58,1.05,1.85,3.25,8.2,0.397,1.82,4.67,0.389,0.82,1.11,0.738,PF
Emmanuel Mudiay,2017-2018,REG,"Nuggets, Knicks",55,19.69,9,0.4,1.89,2.29,3.31,0.64,0.13,1.85,1.25,3.29,8.36,0.393,0.82,2.45,0.333,1.6,2.13,0.752,PF
Brandon Jennings,2017-2018,REG,Bucks,2,16.17,9,1.5,3,4.5,6.5,0,0,1.5,1.5,3,6,0.5,1.5,3.5,0.429,1.5,1.5,1,PG
Terrence Ross,2017-2018,REG,Magic,22,26.19,9,0.45,2.73,3.18,1.59,1.23,0.45,1.14,2,3.27,8.05,0.407,1.27,3.86,0.329,1.18,1.59,0.743,PG
Mario Hezonja,2017-2018,REG,Magic,62,20.51,8.95,0.58,2.87,3.45,1.24,0.95,0.34,1,1.74,3.45,7.63,0.452,1.1,3.24,0.338,0.95,1.16,0.819,C
Manu Ginobili,2017-2018,REG,Spurs,53,20.21,8.92,0.32,1.81,2.13,2.49,0.62,0.3,1.7,2,3.17,7.28,0.435,0.98,3.02,0.325,1.6,1.85,0.867,C
Tony Parker,2017-2018,REG,Spurs,42,20.38,8.83,0.12,1.79,1.9,3.93,0.6,0.02,1.38,0.79,3.81,7.9,0.482,0.17,0.69,0.241,1.05,1.48,0.71,PF
Derrick Rose,2017-2018,REG,"Cavaliers, Timberwolves",18,18.04,8.83,0.61,1.11,1.72,1.56,0.22,0.22,1.67,0.78,3.28,7.72,0.424,0.33,1.39,0.24,1.94,2.28,0.854,PG
John Henson,2017-2018,REG,Bucks,63,25.66,8.81,2,4.86,6.86,1.3,0.52,1.41,1.19,2.81,3.78,6.52,0.579,0,0.06,0,1.25,2.16,0.581,PF
Danny Green,2017-2018,REG,Spurs,57,25.68,8.72,0.56,2.98,3.54,1.58,0.98,1.16,1,1.51,3.18,7.98,0.398,1.7,4.54,0.375,0.67,0.86,0.776,PG
Mike Scott,2017-2018,REG,Wizards,64,18.06,8.67,0.61,2.47,3.08,0.94,0.33,0.16,1.08,1.94,3.58,6.64,0.539,0.86,2.11,0.407,0.66,0.98,0.667,PF
Isaiah Canaan,2017-2018,REG,"Rockets, Suns",20,21.09,8.6,0.3,1.95,2.25,3.8,0.8,0.05,1.45,1.8,2.6,6.85,0.38,1.1,3.3,0.333,2.3,2.55,0.902,PF
Stanley Johnson,2017-2018,REG,Pistons,55,27.6,8.58,0.44,3.09,3.53,1.51,1.22,0.2,1.13,2.56,2.95,7.85,0.375,1,3.4,0.294,1.69,2.15,0.788,PF
Skal Labissiere,2017-2018,REG,Kings,51,19.72,8.49,1.57,3.02,4.59,1.02,0.43,0.8,1.06,2.14,3.35,7.2,0.466,0.22,0.61,0.355,1.57,2.02,0.777,C
Garrett Temple,2017-2018,REG,Kings,62,24.89,8.48,0.35,2.03,2.39,1.95,0.92,0.42,1.27,2.06,3.1,7.32,0.423,1.35,3.45,0.393,0.94,1.23,0.763,C
Dwight Buycks,2017-2018,REG,Pistons,25,15.52,8.36,0.44,1.08,1.52,2.28,0.72,0.08,1.4,1.44,3.16,7.44,0.425,0.6,1.76,0.341,1.44,1.64,0.878,PG
Dwight Powell,2017-2018,REG,Mavericks,67,20.61,8.36,1.73,3.81,5.54,1,0.84,0.37,0.7,2.27,3.24,5.37,0.603,0.24,0.82,0.291,1.64,2.3,0.714,SF
JR Smith,2017-2018,REG,Cavaliers,66,29.01,8.35,0.39,2.5,2.89,1.89,0.91,0.14,0.98,2.11,3,7.68,0.391,1.88,5.15,0.365,0.47,0.7,0.674,C
Marcin Gortat,2017-2018,REG,Wizards,69,25.56,8.35,2.22,5.41,7.62,1.81,0.51,0.75,1.2,2.12,3.52,6.87,0.513,0,0,0,1.3,2,0.652,C
Troy Daniels,2017-2018,REG,Suns,69,19.66,8.32,0.14,1.25,1.39,0.64,0.3,0.07,0.67,1.8,2.72,6.86,0.397,2.17,5.52,0.394,0.7,0.77,0.906,PG
Jerian Grant,2017-2018,REG,Bulls,60,22.71,8.27,0.47,2.1,2.57,4.8,0.78,0.1,1.23,1.73,2.78,6.5,0.428,0.83,2.4,0.347,1.87,2.48,0.752,PG
Fred VanVleet,2017-2018,REG,Raptors,65,19.62,8.23,0.35,2.15,2.51,3.09,0.92,0.25,1.03,1.72,2.91,6.95,0.418,1.25,3.15,0.395,1.17,1.35,0.864,PG
Thabo Sefolosha,2017-2018,REG,Jazz,38,21.2,8.21,0.76,3.47,4.24,0.87,1.37,0.32,0.79,1.55,3.11,6.32,0.492,0.84,2.21,0.381,1.16,1.42,0.815,PF
Devin Harris,2017-2018,REG,"Mavericks, Nuggets",58,18.01,8.19,0.19,1.59,1.78,1.9,0.71,0.19,1.02,2.36,2.6,6.28,0.415,1.03,3.02,0.343,1.95,2.33,0.837,SG
Jerami Grant,2017-2018,REG,Thunder,69,20.86,8.17,1.14,2.96,4.1,0.77,0.39,0.9,0.72,1.99,2.99,5.71,0.523,0.39,1.41,0.278,1.81,2.8,0.648,PF
