Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,Pos
Josh Hart,2017-2018,REG,Lakers,55,21.49,6.62,0.6,3.15,3.75,1.18,0.69,0.22,0.64,1.6,2.38,5.16,0.461,1.09,2.75,0.397,0.76,1.16,0.656,PG
Luke Kennard,2017-2018,REG,Pistons,59,18.54,6.59,0.31,1.88,2.19,1.47,0.56,0.15,0.88,1.08,2.46,5.68,0.433,0.98,2.42,0.406,0.69,0.81,0.854,PF
Kosta Koufos,2017-2018,REG,Kings,64,19.32,6.56,2.08,4.45,6.53,1.19,0.63,0.44,0.73,1.98,3.05,5.38,0.567,0,0,0,0.47,1.03,0.455,C
Tyson Chandler,2017-2018,REG,Suns,46,25.02,6.52,2.91,6.17,9.09,1.15,0.35,0.59,1.28,2.3,2.63,4.07,0.647,0,0,0,1.26,2.04,0.617,C
Jameel Warney,2017-2018,REG,Mavericks,2,9.77,6.5,2,1.5,3.5,0,0,0,0.5,1,3,5.5,0.545,0,0,0,0.5,1.5,0.333,PF
Davis Bertans,2017-2018,REG,Spurs,65,15.46,6.49,0.26,1.95,2.22,1.03,0.37,0.38,0.49,1.32,2.28,5.17,0.44,1.32,3.55,0.372,0.62,0.75,0.816,SF
Josh Gray,2017-2018,REG,Suns,5,17.29,6.4,0.4,1.6,2,2.4,1.6,0.4,1.4,1.6,2.2,8.2,0.268,0.6,2.6,0.231,1.4,2.2,0.636,PF
Jodie Meeks,2017-2018,REG,Wizards,66,14.96,6.39,0.23,1.42,1.65,0.91,0.39,0.06,0.5,0.76,2.05,5.21,0.392,0.89,2.74,0.326,1.41,1.62,0.869,SG
Justin Jackson,2017-2018,REG,Kings,55,20.93,6.38,0.44,2.24,2.67,1.02,0.44,0.18,0.6,1.04,2.6,5.91,0.44,0.78,2.53,0.309,0.4,0.58,0.688,C
Trevor Booker,2017-2018,REG,"Nets, 76ers, Pacers",56,17.42,6.36,1.7,3.02,4.71,1.23,0.43,0.34,0.98,1.82,2.61,5.07,0.514,0.13,0.46,0.269,1.02,1.48,0.687,SG
Tristan Thompson,2017-2018,REG,Cavaliers,42,21.38,6.29,2.31,4.24,6.55,0.62,0.36,0.4,0.71,2.1,2.71,4.64,0.585,0,0,0,0.86,1.57,0.545,PG
Malcolm Delaney,2017-2018,REG,Hawks,54,18.78,6.26,0.17,1.69,1.85,3.02,0.65,0.11,1.22,1.52,2.02,5.28,0.382,0.85,2.3,0.371,1.37,1.7,0.804,SG
Isaiah Whitehead,2017-2018,REG,Nets,16,11.23,6.25,0.25,1.38,1.63,1.25,0.5,0.13,1.5,1.44,2.5,5.38,0.465,0.44,1.13,0.389,0.81,1.19,0.684,C
Emeka Okafor,2017-2018,REG,Pelicans,14,16.74,6.21,2.14,3.36,5.5,0.29,0.36,1.36,0.43,1.5,2.57,4.71,0.545,0,0,0,1.07,1.36,0.789,SG
Dragan Bender,2017-2018,REG,Suns,70,24.37,6.2,0.43,3.49,3.91,1.6,0.27,0.6,1.26,2.04,2.16,5.63,0.383,1.4,3.73,0.375,0.49,0.63,0.773,C
Shelvin Mack,2017-2018,REG,Magic,56,18.87,6.2,0.32,1.93,2.25,3.77,0.68,0.14,1.29,1.27,2.3,5.21,0.442,0.59,1.64,0.359,1,1.36,0.737,SF
Rodney McGruder,2017-2018,REG,Heat,8,20.49,6.13,0.63,1.13,1.75,1.13,0.5,0.13,0.38,1.38,2.5,4.75,0.526,1,2.5,0.4,0.13,0.25,0.5,PG
Langston Galloway,2017-2018,REG,Pistons,53,14.69,6.13,0.23,1.32,1.55,1,0.57,0.09,0.32,0.72,2.17,5.72,0.38,1.28,3.7,0.347,0.51,0.64,0.794,SF
Jahlil Okafor,2017-2018,REG,"76ers, Nets",25,12.67,6.04,0.76,2.24,3,0.48,0.12,0.6,0.8,1.96,2.6,4.84,0.537,0,0.12,0,0.84,1.16,0.724,SF
Gorgui Dieng,2017-2018,REG,Timberwolves,66,17.38,6.02,1.32,3.24,4.56,0.95,0.61,0.47,0.77,1.86,2.36,4.97,0.476,0.2,0.73,0.271,1.09,1.41,0.774,SG
Boban Marjanovic,2017-2018,REG,"Pistons, Clippers",25,8.85,6,1,2.08,3.08,0.6,0.32,0.32,1.12,1.48,2.12,4.04,0.525,0,0,0,1.76,2.16,0.815,PG
Markelle Fultz,2017-2018,REG,76ers,4,18.9,6,0.75,1.5,2.25,1.75,0.5,0.25,1,1.5,2.25,6.75,0.333,0,0,0,1.5,3,0.5,PG
C.J. Williams,2017-2018,REG,Clippers,30,19.7,5.93,0.37,1.13,1.5,1,0.93,0.43,0.6,1.83,2.43,5.43,0.448,0.7,2.23,0.313,0.37,0.47,0.786,PF
Jonas Jerebko,2017-2018,REG,Jazz,61,15.86,5.92,0.77,2.7,3.48,0.61,0.38,0.16,0.38,1.85,2.18,4.74,0.46,0.87,2.13,0.408,0.69,0.87,0.792,PF
Troy Williams,2017-2018,REG,"Rockets, Knicks",13,11.56,5.92,0.85,1.85,2.69,0.46,0.92,0.08,0.69,1.08,2.31,4.85,0.476,0.38,1.69,0.227,0.92,1.46,0.632,SG
OG Anunoby,2017-2018,REG,Raptors,60,20.47,5.9,0.6,1.83,2.43,0.8,0.78,0.15,0.6,1.7,2.17,4.78,0.453,0.98,2.78,0.353,0.58,0.85,0.686,PG
Kenneth Faried,2017-2018,REG,Nuggets,32,14.4,5.88,2.13,2.66,4.78,0.56,0.38,0.41,0.72,1.59,2.38,4.63,0.514,0,0.03,0,1.13,1.59,0.706,PG
Pat Connaughton,2017-2018,REG,Trail Blazers,68,18.57,5.87,0.37,1.51,1.88,1.21,0.25,0.26,0.51,1.44,2.19,5,0.438,0.97,2.65,0.367,0.51,0.6,0.854,C
Richaun Holmes,2017-2018,REG,76ers,34,15.04,5.85,1.21,3.26,4.47,1.24,0.44,0.59,0.59,2.12,2.5,4.88,0.512,0.09,0.79,0.111,0.76,1.06,0.722,C
Xavier Rathan-Mayes,2017-2018,REG,Grizzlies,5,23.56,5.8,0,1,1,3.6,1.2,0.6,2.2,3.6,2.4,8.4,0.286,0.2,2.8,0.071,0.8,1.8,0.444,C
Maurice Harkless,2017-2018,REG,Trail Blazers,54,20.71,5.8,0.72,1.94,2.67,0.81,0.83,0.67,0.72,1.69,2.22,4.76,0.467,0.7,1.87,0.376,0.65,0.91,0.714,PF
Norman Powell,2017-2018,REG,Raptors,58,16.07,5.79,0.19,1.55,1.74,1.34,0.57,0.24,0.95,1.76,2.24,5.6,0.4,0.78,2.67,0.29,0.53,0.66,0.816,SG
Timothe Luwawu-Cabarrot,2017-2018,REG,76ers,52,15.51,5.75,0.27,1.12,1.38,1.04,0.23,0.1,0.73,1.87,1.92,5.13,0.375,1.02,3.04,0.335,0.88,1.12,0.793,SG
Zaza Pachulia,2017-2018,REG,Warriors,55,14.32,5.75,1.25,3.47,4.73,1.75,0.53,0.24,1.02,1.76,2.29,3.78,0.606,0,0.02,0,1.16,1.44,0.81,PF
PJ Tucker,2017-2018,REG,Rockets,68,27.67,5.74,1.12,4.53,5.65,0.93,1.03,0.24,0.87,2.54,1.94,5.01,0.387,1.25,3.41,0.366,0.6,0.79,0.759,SG
Aron Baynes,2017-2018,REG,Celtics,67,17.94,5.72,1.48,3.73,5.21,0.99,0.27,0.66,0.97,2.42,2.45,5.19,0.471,0,0.15,0,0.82,1.1,0.743,G
Justin Anderson,2017-2018,REG,76ers,28,13.33,5.71,0.61,1.68,2.29,0.54,0.39,0.18,0.36,1.46,2.14,4.89,0.438,0.82,2.32,0.354,0.61,0.89,0.68,PF
Wesley Johnson,2017-2018,REG,Clippers,61,21.1,5.62,0.36,2.77,3.13,0.84,1.08,0.95,0.85,2.11,2.1,5.2,0.404,0.79,2.49,0.316,0.64,0.87,0.736,C
Tyler Dorsey,2017-2018,REG,Hawks,43,15.05,5.6,0.26,1.84,2.09,1.28,0.26,0.09,0.49,0.88,1.95,5.63,0.347,1,3.07,0.326,0.7,0.98,0.714,PF
Omri Casspi,2017-2018,REG,Warriors,51,13.91,5.59,0.55,3.25,3.8,0.92,0.35,0.33,0.71,1.35,2.22,3.82,0.579,0.18,0.41,0.429,0.98,1.35,0.725,C
Ed Davis,2017-2018,REG,Trail Blazers,68,19.15,5.57,2.5,5.1,7.6,0.53,0.46,0.69,0.82,2.41,2.29,3.9,0.589,0,0,0,0.99,1.49,0.663,SF
Luke Babbitt,2017-2018,REG,"Hawks, Heat",46,14.71,5.57,0.13,1.87,2,0.63,0.17,0.15,0.41,1.17,1.96,4.43,0.441,1.28,3.15,0.407,0.37,0.48,0.773,SG
Bismack Biyombo,2017-2018,REG,Magic,69,18.66,5.57,1.74,3.99,5.72,0.77,0.25,1.16,1.06,1.97,2.16,4.16,0.519,0,0.01,0,1.25,1.9,0.656,C
Dante Cunningham,2017-2018,REG,"Pelicans, Nets",61,21.92,5.57,1.08,3,4.08,0.64,0.59,0.34,0.48,1.54,2.18,4.72,0.462,0.77,2.11,0.364,0.44,0.74,0.6,PG
Andre Iguodala,2017-2018,REG,Warriors,54,25.33,5.54,0.81,3,3.81,3.26,0.81,0.65,1.07,1.56,2.13,4.61,0.462,0.41,1.61,0.253,0.87,1.35,0.644,SF
Isaiah Taylor,2017-2018,REG,Hawks,54,15.16,5.48,0.3,1,1.3,2.59,0.44,0.19,1.04,1.56,1.98,4.63,0.428,0.24,0.91,0.265,1.28,1.89,0.676,SF
Kobi Simmons,2017-2018,REG,Grizzlies,21,18.19,5.48,0.48,1.29,1.76,1.67,0.67,0.24,1.14,2,2.33,5.52,0.422,0.24,0.9,0.263,0.57,0.57,1,C
Quincy Acy,2017-2018,REG,Nets,59,19.46,5.46,0.61,3.2,3.81,0.76,0.49,0.32,0.97,2.03,1.69,5.05,0.336,1.29,3.97,0.325,0.78,0.95,0.821,PF
Deyonta Davis,2017-2018,REG,Grizzlies,48,13.74,5.44,1.17,2.58,3.75,0.58,0.25,0.65,0.48,1.88,2.44,3.88,0.629,0,0,0,0.56,0.81,0.692,PG
Vince Carter,2017-2018,REG,Kings,47,17.71,5.43,0.28,2.19,2.47,1.21,0.83,0.49,0.55,1.66,1.98,4.94,0.401,1,2.85,0.351,0.47,0.66,0.71,PG
Andrew White,2017-2018,REG,Hawks,7,14.35,5.43,0.43,1.29,1.71,0.14,0.29,0,0.29,1.14,2,4.86,0.412,1.29,3.29,0.391,0.14,0.29,0.5,PG
Jawun Evans,2017-2018,REG,Clippers,42,17.75,5.43,0.21,1.76,1.98,2.26,0.86,0.14,1,2.19,2.1,5.95,0.352,0.36,1.29,0.278,0.88,1.12,0.787,SG
Frank Ntilikina,2017-2018,REG,Knicks,66,20.8,5.41,0.42,1.68,2.11,3.14,0.86,0.2,1.68,2.32,2.09,5.92,0.353,0.55,1.77,0.308,0.68,0.94,0.726,PG
Shaun Livingston,2017-2018,REG,Warriors,57,15.78,5.4,0.42,1.39,1.81,1.96,0.44,0.33,0.84,1.68,2.37,4.63,0.511,0,0.05,0,0.67,0.79,0.844,PF
Myke Henry,2017-2018,REG,Grizzlies,15,18.57,5.4,0.47,1.2,1.67,1.07,1.4,0.33,0.93,1.4,2,5.2,0.385,1,2.87,0.349,0.4,0.67,0.6,PF
Jon Leuer,2017-2018,REG,Pistons,8,17.06,5.38,0.88,3.13,4,0.63,0.13,0.38,1,2,1.88,4.5,0.417,0,0.38,0,1.63,1.88,0.867,C
Daniel Theis,2017-2018,REG,Celtics,63,14.85,5.25,1.43,2.92,4.35,0.89,0.48,0.75,0.89,2.49,2,3.7,0.541,0.29,0.92,0.31,0.97,1.29,0.753,SF
Tyler Cavanaugh,2017-2018,REG,Hawks,32,13.8,5.09,1.19,2.25,3.44,0.81,0.28,0.13,0.34,1.75,1.84,3.88,0.476,0.88,2.31,0.378,0.53,0.66,0.81,PG
Maxi Kleber,2017-2018,REG,Mavericks,58,16.5,5.05,1.05,1.98,3.03,0.69,0.36,0.6,0.38,1.66,2.03,4.28,0.476,0.45,1.59,0.283,0.53,0.74,0.721,C
Jameer Nelson,2017-2018,REG,"Pelicans, Pistons",49,20.21,5.04,0.27,1.76,2.02,3.55,0.55,0.08,1.37,1.59,1.94,4.96,0.391,0.84,2.51,0.333,0.33,0.41,0.8,C
Tyus Jones,2017-2018,REG,Timberwolves,69,17.9,5.03,0.2,1.52,1.72,2.7,1.14,0.06,0.68,1.35,1.86,3.97,0.467,0.51,1.48,0.343,0.81,0.9,0.903,PF
Jordan Bell,2017-2018,REG,Warriors,41,14.37,5.02,1.15,2.54,3.68,1.8,0.66,1.1,0.98,1.8,2.2,3.34,0.657,0,0.07,0,0.63,0.9,0.703,SF
Jordan Crawford,2017-2018,REG,Pelicans,1,12.67,5,1,0,1,3,0,0,2,4,2,4,0.5,1,2,0.5,0,0,0,C
Jack Cooley,2017-2018,REG,Kings,2,4.89,5,1.5,0.5,2,1,0,0,0,1,2,3.5,0.571,0,0,0,1,1,1,SG
Andre Roberson,2017-2018,REG,Thunder,39,26.58,4.97,1.92,2.82,4.74,1.18,1.18,0.9,0.77,2.28,2.23,4.15,0.537,0.21,0.92,0.222,0.31,0.97,0.316,PG
Brandan Wright,2017-2018,REG,"Grizzlies, Rockets",28,13.6,4.96,1.18,2.21,3.39,0.46,0.46,0.93,0.29,1.14,2.11,3.64,0.578,0,0,0,0.75,1.18,0.636,PF
Tony Allen,2017-2018,REG,Pelicans,20,12.77,4.95,0.75,1.35,2.1,0.45,0.55,0.1,0.85,2.3,2.15,4.2,0.512,0.2,0.55,0.364,0.45,0.95,0.474,SG
Shaquille Harrison,2017-2018,REG,Suns,11,13.62,4.91,0.45,2.64,3.09,1.82,1.18,0.45,0.91,2.09,1.82,4,0.455,0.18,0.82,0.222,1.09,1.64,0.667,SF
DeAndre' Bembry,2017-2018,REG,Hawks,21,17.33,4.9,0.38,2.29,2.67,1.48,0.62,0.48,1.81,1.52,1.9,4.81,0.396,0.38,1.14,0.333,0.71,1.19,0.6,SF
Royce O'Neale,2017-2018,REG,Jazz,56,15.68,4.84,0.43,2.8,3.23,1.39,0.55,0.2,0.79,1.36,1.64,4.07,0.404,0.61,1.73,0.35,0.95,1.18,0.803,SG
Alex Abrines,2017-2018,REG,Thunder,64,15.45,4.83,0.38,1.23,1.61,0.39,0.53,0.13,0.39,1.67,1.58,4.02,0.393,1.14,2.98,0.382,0.53,0.61,0.872,PG
Channing Frye,2017-2018,REG,"Cavaliers, Lakers",45,12.36,4.78,0.22,2.22,2.44,0.62,0.38,0.27,0.38,1.24,1.89,3.78,0.5,0.69,2.02,0.341,0.31,0.33,0.933,PF
Jonathan Isaac,2017-2018,REG,Magic,23,19.2,4.78,0.61,3.04,3.65,0.65,0.96,1.04,0.91,1.78,1.83,4.91,0.372,0.48,1.52,0.314,0.65,0.87,0.75,SF
Malik Monk,2017-2018,REG,Hornets,50,11.86,4.78,0.08,0.78,0.86,1.14,0.24,0.08,0.52,0.92,1.78,5.4,0.33,0.94,3.04,0.309,0.28,0.38,0.737,PG
Thon Maker,2017-2018,REG,Bucks,66,17.02,4.76,1.08,2.17,3.24,0.62,0.53,0.76,0.61,2.14,1.73,4.2,0.412,0.42,1.41,0.301,0.88,1.26,0.699,PG
Johnny O'Bryant III,2017-2018,REG,Hornets,36,10.53,4.75,0.81,1.81,2.61,0.39,0.22,0.17,0.42,1.25,1.89,4.75,0.398,0.39,1.19,0.326,0.58,0.69,0.84,C
Ian Mahinmi,2017-2018,REG,Wizards,66,15,4.74,1.77,2.29,4.06,0.67,0.48,0.58,1.27,3.06,1.76,3.08,0.571,0,0.02,0,1.23,1.71,0.717,C
Jaylen Morris,2017-2018,REG,Hawks,6,16.41,4.67,0.33,2.33,2.67,1.17,0.33,0.17,1,0.33,2.17,5.17,0.419,0.33,1.5,0.222,0,0,0,SF
Ramon Sessions,2017-2018,REG,"Knicks, Wizards",18,14.43,4.67,0.17,1.17,1.33,2.44,0.5,0.11,1.17,1.33,1.5,4.61,0.325,0.22,0.89,0.25,1.44,1.89,0.765,C
JaVale McGee,2017-2018,REG,Warriors,50,9.34,4.64,0.7,1.64,2.34,0.48,0.36,0.96,0.4,1.34,1.98,3.08,0.643,0,0.12,0,0.68,0.88,0.773,PF
Willie Reed,2017-2018,REG,"Clippers, Pistons",42,10.19,4.64,0.83,2.07,2.9,0.24,0.21,0.52,0.45,1.33,1.93,2.88,0.669,0.02,0.05,0.5,0.76,1.31,0.582,SG
Danuel House,2017-2018,REG,Suns,16,12.09,4.63,0.56,1.75,2.31,0.5,0.31,0.06,0.31,0.94,1.56,4.19,0.373,0.5,1.94,0.258,1,1.19,0.842,PG
Treveon Graham,2017-2018,REG,Hornets,56,17.07,4.61,0.66,1.36,2.02,0.91,0.55,0.02,0.45,1.8,1.63,3.7,0.44,0.68,1.61,0.422,0.68,0.95,0.717,SG
Michael Carter-Williams,2017-2018,REG,Hornets,52,16.05,4.6,0.71,1.94,2.65,2.23,0.87,0.44,1.02,1.9,1.46,4.4,0.332,0.27,1.13,0.237,1.4,1.71,0.82,PF
Raul Neto,2017-2018,REG,Jazz,39,12.25,4.59,0.18,1.03,1.21,1.85,0.28,0.1,0.82,0.92,1.72,3.77,0.456,0.49,1.18,0.413,0.67,0.85,0.788,SG
Sterling Brown,2017-2018,REG,Bucks,43,15.32,4.56,0.53,2.37,2.91,0.47,0.7,0.26,0.51,1.44,1.72,4.09,0.42,0.67,1.79,0.377,0.44,0.51,0.864,SF
Joffrey Lauvergne,2017-2018,REG,Spurs,47,10.6,4.51,1.28,2.19,3.47,0.81,0.19,0.06,0.68,0.94,1.96,3.77,0.52,0,0.11,0,0.6,0.91,0.651,SG
Amir Johnson,2017-2018,REG,76ers,61,15.19,4.46,1.69,2.59,4.28,1.34,0.61,0.59,0.8,2.64,1.8,3.33,0.542,0.11,0.34,0.333,0.74,1.26,0.584,PF
JaKarr Sampson,2017-2018,REG,Kings,14,14.58,4.43,0.93,2.79,3.71,0.5,0.36,0.71,0.36,2.36,1.93,3,0.643,0.29,0.43,0.667,0.29,0.36,0.8,C
Iman Shumpert,2017-2018,REG,"Cavaliers, Kings",14,19.73,4.43,0.5,2.43,2.93,1.21,0.64,0.29,1.21,1.57,1.57,4.14,0.379,0.5,1.86,0.269,0.79,1.07,0.733,C
Travis Wear,2017-2018,REG,Lakers,7,11.43,4.43,0,2,2,0.14,0,0.57,0.14,2.14,1.57,4.29,0.367,1,3,0.333,0.29,0.29,1,PG
Ivan Rabb,2017-2018,REG,Grizzlies,27,11.47,4.41,1.22,2.11,3.33,0.74,0.26,0.19,0.93,1.33,1.93,3.15,0.612,0,0,0,0.56,0.74,0.75,PG
Miles Plumlee,2017-2018,REG,Hawks,46,16.64,4.39,1.35,2.65,4,0.83,0.35,0.61,1.17,1.48,1.96,3.37,0.581,0,0,0,0.48,1.04,0.458,C
Cristiano Felicio,2017-2018,REG,Bulls,42,15.04,4.38,1.07,1.93,3,0.9,0.17,0.26,0.74,1.93,1.81,3.02,0.598,0,0.02,0,0.76,1.26,0.604,C
Matthew Dellavedova,2017-2018,REG,Bucks,37,18.96,4.38,0.38,1.35,1.73,3.84,0.35,0.03,1.3,1.81,1.49,4.03,0.369,0.78,2.08,0.377,0.62,0.68,0.92,PG
Zach Collins,2017-2018,REG,Trail Blazers,52,15.57,4.37,0.73,2.75,3.48,0.77,0.29,0.48,0.85,2.1,1.71,4.21,0.406,0.54,1.54,0.35,0.4,0.63,0.636,PG
Nerlens Noel,2017-2018,REG,Mavericks,23,14.56,4.35,1.61,3.57,5.17,0.43,0.78,0.61,0.87,1.96,1.78,3.61,0.494,0,0.04,0,0.78,1.04,0.75,SG
Corey Brewer,2017-2018,REG,"Lakers, Thunder",60,14.19,4.33,0.42,1.4,1.82,0.8,0.83,0.2,0.7,1.68,1.63,3.6,0.454,0.27,1.05,0.254,0.8,1.08,0.738,PF
Cheick Diallo,2017-2018,REG,Pelicans,37,9.64,4.32,0.62,2.73,3.35,0.32,0.24,0.38,0.46,1.35,1.81,3.24,0.558,0,0,0,0.7,0.97,0.722,SF
Sean Kilpatrick,2017-2018,REG,"Nets, Bucks, Clippers",41,9.84,4.29,0.05,1.41,1.46,0.76,0.17,0.05,0.61,0.59,1.41,4.24,0.333,0.59,2.17,0.27,0.88,0.93,0.947,SG
Torrey Craig,2017-2018,REG,Nuggets,26,16.09,4.27,0.96,2.04,3,0.65,0.31,0.23,0.42,1.58,1.58,3.5,0.451,0.38,1.46,0.263,0.73,1.12,0.655,PF
Luke Kornet,2017-2018,REG,Knicks,8,11.84,4.25,1,1.63,2.63,0.63,0.25,0.88,0.25,0.5,1.63,5.25,0.31,0.88,3.25,0.269,0.13,0.25,0.5,SG
Noah Vonleh,2017-2018,REG,"Trail Blazers, Bulls",45,14.96,4.22,1.09,4.16,5.24,0.56,0.22,0.31,0.47,1.13,1.64,3.67,0.448,0.24,0.87,0.282,0.69,1,0.689,SG
Adreian Payne,2017-2018,REG,Magic,5,8.51,4.2,0.4,1.4,1.8,0,0.4,0,0.4,1.2,1.4,2,0.7,0.4,0.6,0.667,1,1.2,0.833,PF
Sam Dekker,2017-2018,REG,Clippers,60,12.69,4.12,0.6,1.83,2.43,0.55,0.35,0.13,0.47,0.98,1.72,3.7,0.464,0.15,0.97,0.155,0.53,0.77,0.696,C
Nik Stauskas,2017-2018,REG,"76ers, Nets",35,12.24,4.06,0.09,1.4,1.49,0.83,0.23,0.09,0.6,0.51,1.31,3.43,0.383,0.94,2.31,0.407,0.49,0.63,0.773,PF
Timofey Mozgov,2017-2018,REG,Nets,28,12.09,4.04,1,2.11,3.11,0.29,0.18,0.39,1.11,1.32,1.61,3.04,0.529,0.14,0.64,0.222,0.68,0.89,0.76,PF
Lance Thomas,2017-2018,REG,Knicks,64,18.48,4.03,0.61,1.78,2.39,0.61,0.41,0.22,0.56,1.78,1.38,3.48,0.395,0.66,1.64,0.4,0.63,0.73,0.851,PF
Jordan Mickey,2017-2018,REG,Heat,20,12.46,4,0.8,2.9,3.7,0.45,0.25,0.45,0.8,1.65,1.7,3.55,0.479,0.05,0.65,0.077,0.55,0.8,0.688,C
Paul Zipser,2017-2018,REG,Bulls,50,14.82,3.88,0.22,2.14,2.36,0.78,0.38,0.24,0.78,1.48,1.48,4.12,0.359,0.64,1.86,0.344,0.28,0.4,0.7,SG
Joe Young,2017-2018,REG,Pacers,49,10.49,3.84,0.2,1,1.2,0.71,0.29,0.02,0.49,0.73,1.47,3.39,0.434,0.45,1.22,0.367,0.45,0.59,0.759,SG
Quinn Cook,2017-2018,REG,Warriors,19,12.89,3.79,0.21,1,1.21,1.11,0,0,0.53,1.26,1.47,3.79,0.389,0.47,1.63,0.29,0.37,0.37,1,SF
Jose Calderon,2017-2018,REG,Cavaliers,45,14.87,3.78,0.18,1.13,1.31,1.93,0.51,0,0.64,1.49,1.36,2.69,0.504,0.64,1.47,0.439,0.42,0.53,0.792,PF
Patrick Patterson,2017-2018,REG,Thunder,70,15.87,3.77,0.37,2.01,2.39,0.66,0.59,0.27,0.44,1.06,1.26,3.26,0.386,0.76,2.09,0.363,0.5,0.59,0.854,SF
Shabazz Muhammad,2017-2018,REG,"Timberwolves, Bucks",35,9.18,3.77,0.46,0.94,1.4,0.23,0.17,0.06,0.17,0.69,1.49,3.71,0.4,0.11,0.54,0.211,0.69,0.97,0.706,SF
Rodney Purvis,2017-2018,REG,Magic,4,10.94,3.75,0,0.5,0.5,0.25,0.25,0.25,1,1.25,1.25,3.25,0.385,0.25,1.75,0.143,1,1,1,SF
Patrick McCaw,2017-2018,REG,Warriors,50,15.79,3.72,0.32,1.14,1.46,1.4,0.74,0.16,0.64,1.1,1.52,3.44,0.442,0.32,1.24,0.258,0.36,0.5,0.72,SF
Kay Felder,2017-2018,REG,"Bulls, Pistons",15,9.09,3.67,0.13,0.87,1,1.33,0.2,0.07,1.07,0.73,1.33,4.53,0.294,0.27,1.27,0.211,0.73,0.8,0.917,SF
Cedi Osman,2017-2018,REG,Cavaliers,54,10.54,3.63,0.26,1.65,1.91,0.5,0.33,0.06,0.5,1.3,1.41,2.76,0.51,0.46,1.19,0.391,0.35,0.61,0.576,PG
Shane Larkin,2017-2018,REG,Celtics,43,11.8,3.63,0.14,1.09,1.23,1.3,0.47,0.05,0.53,1,1.3,3.33,0.392,0.49,1.3,0.375,0.53,0.6,0.885,SG
Dorian Finney-Smith,2017-2018,REG,Mavericks,10,13.27,3.6,1,1.2,2.2,0.7,0.2,0.2,0.8,1.9,1.3,3.1,0.419,0.6,1.9,0.316,0.4,0.6,0.667,PG
Tarik Black,2017-2018,REG,Rockets,42,10.27,3.6,1.36,1.71,3.07,0.21,0.43,0.57,0.71,2.19,1.52,2.6,0.587,0,0.19,0,0.55,1.19,0.46,SG
Sindarius Thornwell,2017-2018,REG,Clippers,58,14.49,3.52,0.33,1.26,1.59,0.72,0.6,0.36,0.59,1.64,1.24,2.76,0.45,0.31,0.81,0.383,0.72,1.05,0.689,SF
Salah Mejri,2017-2018,REG,Mavericks,56,11.93,3.52,1.39,2.75,4.14,0.52,0.38,1.13,0.63,2.05,1.46,2.23,0.656,0,0.05,0,0.59,1.04,0.569,PG
Willy Hernangomez,2017-2018,REG,"Knicks, Hornets",35,7.9,3.49,0.8,1.63,2.43,0.63,0.23,0.26,0.86,1.14,1.49,2.69,0.553,0.03,0.14,0.2,0.49,1.09,0.447,PG
Malachi Richardson,2017-2018,REG,"Kings, Raptors",26,12.44,3.42,0.19,1.12,1.31,0.5,0.38,0.04,0.38,1.04,1.15,3.46,0.333,0.46,1.54,0.3,0.65,0.85,0.773,C
Jason Smith,2017-2018,REG,Wizards,27,8.92,3.41,0.63,1,1.63,0.48,0.11,0.41,0.52,1.48,1.37,3.63,0.378,0.11,0.96,0.115,0.56,0.63,0.882,C
Meyers Leonard,2017-2018,REG,Trail Blazers,25,7.8,3.4,0.4,1.72,2.12,0.44,0.2,0,0.28,1.12,1.36,2.36,0.576,0.36,0.8,0.45,0.32,0.4,0.8,SF
Walter Lemon Jr.,2017-2018,REG,Pelicans,5,7.02,3.4,0,0.4,0.4,1,0,0.2,0.8,1,1.4,3.2,0.438,0.2,0.2,1,0.4,0.6,0.667,C
Arron Afflalo,2017-2018,REG,Magic,46,12.95,3.37,0.07,1.28,1.35,0.57,0.04,0.15,0.39,1.09,1.22,3.07,0.397,0.5,1.28,0.39,0.43,0.52,0.833,C
Okaro White,2017-2018,REG,Heat,6,13.26,3.33,0.5,1.33,1.83,0.33,0.17,0.17,0.17,1,1.17,2.67,0.438,0.67,1.83,0.364,0.33,0.5,0.667,SG
Wes Iwundu,2017-2018,REG,Magic,51,14.39,3.33,0.47,1.55,2.02,0.84,0.53,0.14,0.43,1.2,1.35,3.08,0.439,0.12,0.53,0.222,0.51,0.67,0.765,PG
Monte Morris,2017-2018,REG,Nuggets,3,8.43,3.33,0,0.67,0.67,2.33,1,0,0.33,0.33,1.33,2,0.667,0,0.33,0,0.67,0.67,1,SG
Khem Birch,2017-2018,REG,Magic,28,12.71,3.32,1.46,2.25,3.71,0.71,0.39,0.43,0.54,1.36,1.32,2.5,0.529,0,0,0,0.68,1.07,0.633,PF
Juan Hernangomez,2017-2018,REG,Nuggets,22,11.42,3.32,0.77,1.64,2.41,0.41,0.27,0.14,0.36,0.91,1.18,3.05,0.388,0.5,1.91,0.262,0.45,0.55,0.833,SG
Glenn Robinson III,2017-2018,REG,Pacers,11,13.6,3.27,0.45,0.64,1.09,0.82,0.55,0.09,0.18,0.82,1.36,3.18,0.429,0.18,0.91,0.2,0.36,0.45,0.8,SG
